date,ticker,open,high,low,close,volume
2010-01-01,GOOGL,626.95,629.51,540.99,626.75,178021600
2010-01-01,GS,170.05,178.75,154.88,173.08,281861700
2010-01-01,KO,57.16,57.4301,54.94,57.04,192693100
2010-01-01,XRX,8.54,9.48,8.91,8.63,300837500
2010-02-01,GOOGL,534.602,547.5,531.75,533.02,103963600
2010-02-01,GS,149.82,160.21,156.99,153.13,231970100
2010-02-01,KO,54.51,55.92,53.09,54.38,228992800
2010-02-01,XRX,8.75,9.4,9.31,8.97,310746300
2010-03-01,GOOGL,529.2,588.275,569.74,532.69,167380600
2010-03-01,GS,156.51,178.73,171.66,156.54,240364800
2010-03-01,KO,53.22,55.36,55.29,53.27,267852300
2010-03-01,XRX,9.38,10.17,9.78,9.55,284334100
2010-04-01,GOOGL,571.35,597.84,537.68,568.8,145974700
2010-04-01,GS,171.72,186.41,152.5,170.22,533264800
2010-04-01,KO,55.36,55.56,53.96,55.3,221916e3
2010-04-01,XRX,9.81,11.72,11.25,9.99,414858900
2010-05-01,GOOGL,526.5,532.92,493.45,530.6,162958300
2010-05-01,GS,147.84,152.35,145.8,149.5,370736300
2010-05-01,KO,53.71,54.2,51.9494,53.76,264520500
2010-05-01,XRX,10.99,11.14,9.5,11.05,420229900
2010-06-01,GOOGL,480.43,509.25,457.83,482.37,119605600
2010-06-01,GS,144.26,146.4,134.3,141.86,232977100
2010-06-01,KO,51.12,53.08,50.58,51.29,242335800
2010-06-01,XRX,9.45,9.76,8.32,8.95,379248700
2010-07-01,GOOGL,445.29,497.5,487.36,439.49,138480300
2010-07-01,GS,131.69,153.41,153.15,131.14,22909e4
2010-07-01,KO,50.3,55.305,55.29,50.03,186652400
2010-07-01,XRX,8.06,9.86,9.71,7.97,405126500
2010-08-01,GOOGL,488.99,508.6,454.87,490.41,105603500
2010-08-01,GS,152.82,157.25,138.01,152.74,135451900
2010-08-01,KO,55.82,57.4,56.04,56.41,195096700
2010-08-01,XRX,9.74,9.99,8.53,9.82,261654700
2010-09-01,GOOGL,454.98,536.849,531.869,460.33,119281400
2010-09-01,GS,139.01,154.7,146.98,139.74,140199700
2010-09-01,KO,56.38,59.23,59.1588,57.31,174264200
2010-09-01,XRX,8.6,10.64,10.57,8.82,277229400
2010-10-01,GOOGL,530,624.74,619,525.62,158536e3
2010-10-01,GS,145.2,163.79,163.5992,147.7,14163e4
2010-10-01,KO,59.04,61.75,61.5,59.12,193561500
2010-10-01,XRX,10.41,11.73,11.7,10.5,273762700
2010-11-01,GOOGL,615.73,630.85,574.32,615,116766e3
2010-11-01,GS,161.77,171.61,159.33,161.57,119779e3
2010-11-01,KO,61.37,64.63,63.58,61.71,220185200
2010-11-01,XRX,11.74,11.96,11.59,11.61,216492500
2010-12-01,GOOGL,563,607,598.42,564.35,84484800
2010-12-01,GS,158.45,171.23,168.8,158.45,93645400
2010-12-01,KO,63.94,65.88,65.8,64.7,203543800
2010-12-01,XRX,11.63,12.08,11.6,11.76,175529100
date,ticker,open,high,low,close,volume
2011-01-01,GOOGL,596.48,642.96,604.47,604.35,119847800
2011-01-01,GS,170.55,175.34,163.72,173.05,116535100
2011-01-01,KO,65.88,65.88,62.85,65.22,183368100
2011-01-01,XRX,11.62,11.79,10.65,11.71,285009400
2011-02-01,GOOGL,604.49,631.18,616.49,611.04,83653600
2011-02-01,GS,163.86,169.9,166.25,165.33,82986600
2011-02-01,KO,62.88,64.75,64.48,63.05,157503600
2011-02-01,XRX,10.7,11.5,10.81,10.88,230846200
2011-03-01,GOOGL,617.78,619.22,588.1612,600.76,120156600
2011-03-01,GS,163.55,165.1799,160.07,161.31,112097700
2011-03-01,KO,64.28,66.85,66.49,64.91,215596300
2011-03-01,XRX,10.73,10.86,10.75,10.62,262720200
2011-04-01,GOOGL,588.76,595.19,544.1,591.8,140342e3
2011-04-01,GS,159.77,164.4,151.87,160.23,101954e3
2011-04-01,KO,66.89,68.47,67.77,67.22,151868100
2011-04-01,XRX,10.71,11.03,10.18,10.88,279542600
2011-05-01,GOOGL,545.7,545.73,529.05,538.56,90564200
2011-05-01,GS,152.2,153.07,142.3,151.3,144717100
2011-05-01,KO,67.76,68.77,67.24,67.72,139325500
2011-05-01,XRX,10.17,10.55,10.21,10.11,255562800
2011-06-01,GOOGL,528.04,533.1999,506.67,525.6,118130800
2011-06-01,GS,139.95,140,133.8,136.17,135783900
2011-06-01,KO,66.6,67.49,67.18,66.76,174610700
2011-06-01,XRX,10.18,10.49,10.3,10,250908800
2011-07-01,GOOGL,506.74,627.4992,614.96,521.028,161948200
2011-07-01,GS,133.43,139.25,136.6,136.65,113317e3
2011-07-01,KO,67.02,69.82,68.85,68.09,162742800
2011-07-01,XRX,10.38,10.83,9.55,10.71,271723e3
2011-08-01,GOOGL,611.22,615.5,546.3,606.77,213336700
2011-08-01,GS,136.92,137.34,117.8,134.15,230480100
2011-08-01,KO,68.5,70.77,70.28,67.73,323958800
2011-08-01,XRX,9.49,9.53,8.47,9.13,480401800
2011-09-01,GOOGL,540.75,558.52,524,532.5,117140800
2011-09-01,GS,115.55,115.55,98.4,112.16,166764200
2011-09-01,KO,70.09,71.77,69.1,70.45,258621600
2011-09-01,XRX,8.35,8.42,7.26,8.11,309303700
2011-10-01,GOOGL,509.85,602.7,599.69,495.52,154275400
2011-10-01,GS,93.74,118.07,113.89,90.08,179485e3
2011-10-01,KO,66.59,69.09,69.05,65.42,203240900
2011-10-01,XRX,6.8,8.65,8.46,6.72,347944900
2011-11-01,GOOGL,580.1,618.3,599.51,578.65,120479300
2011-11-01,GS,103.49,109.2574,96.01,103.54,150193800
2011-11-01,KO,67.13,68.82,67.96,67.04,169281400
2011-11-01,XRX,8.03,8.55,8.17,7.9399999999999995,249599800
2011-12-01,GOOGL,600,646.76,645,613.77,109983800
2011-12-01,GS,94.58,106.1,91.14,94.43,158615200
2011-12-01,KO,67,70.29,70.2,66.83,154778100
2011-12-01,XRX,8.11,8.41,8.02,8.19,199819800
date,ticker,open,high,low,close,volume
2012-01-01,GOOGL,652.94,670.25,584,665.41,147136900
2012-01-01,GS,92.97,112.5,112.2,95.36,159706200
2012-01-01,KO,70.15,70.71,67.98,70.14,150115800
2012-01-01,XRX,8.16,8.84,7.8,8.2,292134300
2012-02-01,GOOGL,584.94,625.6,619.77,580.83,94633500
2012-02-01,GS,112.61,118.66,118.13,113.45,114450200
2012-02-01,KO,67.88,69.98,69.5,67.85,143832500
2012-02-01,XRX,7.8,8.5,8.42,7.78,245845400
2012-03-01,GOOGL,622.26,658.589,653.49,622.4,94564700
2012-03-01,GS,115.97,128.72,125.47,121.13,148682900
2012-03-01,KO,69.87,74.39,74.14,69.6,205125300
2012-03-01,XRX,8.28,8.55,8.18,8.4,201217700
2012-04-01,GOOGL,640.77,653.14,616.082,646.92,117636800
2012-04-01,GS,124.14,125.54,115.3,124.9,118236700
2012-04-01,KO,73.83,77.82,76.9,74.14,146185e3
2012-04-01,XRX,8.09,8.2,7.86,8.15,240832200
2012-05-01,GOOGL,603.79,637.85,590,604.43,117228e3
2012-05-01,GS,114.84,116.48,96.65,115.33,121117300
2012-05-01,KO,76.54,77.74,75.22,76.93,167695400
2012-05-01,XRX,7.8,8.01,7.28,7.93,307976600
2012-06-01,GOOGL,571.79,587.89,580.13,570.98,92914500
2012-06-01,GS,94.07,97.6,96.18,92.64,104497e3
2012-06-01,KO,73.99,78.19,76.67,73.09,139786600
2012-06-01,XRX,7.06,7.88,7.88,7.12,244739700
2012-07-01,GOOGL,581.82,642.6,636.5,580.47,102469600
2012-07-01,GS,96.56,102.18,101.78,97.13,96498800
2012-07-01,KO,78.1,81.33,81.17,78.92,144510100
2012-07-01,XRX,7.89,7.97,6.97,7.87,274392100
2012-08-01,GOOGL,637.3,688.99,688.58,632.68,94031300
2012-08-01,GS,101.27,107.34,106.58,100.09,70895400
2012-08-01,KO,80.97,81.25,37.58,81.01,244132400
2012-08-01,XRX,6.95,7.52,7.45,6.79,201458600
2012-09-01,GOOGL,684.55,764.89,759.3,681.04,120233800
2012-09-01,GS,105.55,122.6,115.01,106.41,91155600
2012-09-01,KO,37.52,39,38.22,37.28,469561900
2012-09-01,XRX,7.38,7.89,7.39,7.26,193236200
2012-10-01,GOOGL,759.05,774.38,681,761.78,143452800
2012-10-01,GS,116.67,126.48,122.6,116.86,96115200
2012-10-01,KO,38.16,38.83,37.41,38.38,293829600
2012-10-01,XRX,7.36,7.54,6.51,7.35,263371300
2012-11-01,GOOGL,679.5,699.22,695.55,687.59,93264e3
2012-11-01,GS,122.82,126.73,119.44,124.85,78473200
2012-11-01,KO,37.15,37.98,37.97,37.33,261448200
2012-11-01,XRX,6.47,6.85,6.8100000000000005,6.65,203320200
2012-12-01,GOOGL,702.24,738.28,710.57,695.25,83306700
2012-12-01,GS,118.42,129.72,127.68,118.4,80380300
2012-12-01,KO,37.9,37.99,36.28,37.38,269626400
2012-12-01,XRX,6.86,7.21,6.84,6.79,198601100
date,ticker,open,high,low,close,volume
2013-01-01,GOOGL,719.42,760.95,757.62,723.25,104704600
2013-01-01,GS,131.3,148,147.5,131.66,98912700
2013-01-01,KO,36.99,37.87,37.53,37.6,302757300
2013-01-01,XRX,6.99,8.31,8.21,7.19,294809200
2013-02-01,GOOGL,758.2,808.97,806.99,775.6,92587100
2013-02-01,GS,148.51,159,152.4,149.9,92481400
2013-02-01,KO,37.54,39.06,38.97,37.54,324939300
2013-02-01,XRX,8.1,8.23,8.2,8.02,171173800
2013-03-01,GOOGL,797.8,844,805.37,806.19,85011800
2013-03-01,GS,148.12,157.19,149.06,150.53,82855700
2013-03-01,KO,38.49,40.7,40.6,38.7,288428800
2013-03-01,XRX,8.07,8.77,8.62,8.15,163993900
2013-04-01,GOOGL,795.01,827.64,822.7,801.19,106996300
2013-04-01,GS,146.67,151.45,146.5399,146.04,81816700
2013-04-01,KO,40.39,42.96,42.39,40.45,317772200
2013-04-01,XRX,8.62,9.38,8.58,8.6,237269100
2013-05-01,GOOGL,823.26,920.6,877,820.43,98734600
2013-05-01,GS,145.83,165.828,165.45,142.61,89480300
2013-05-01,KO,42.15,43.43,40.77,42.21,288223e3
2013-05-01,XRX,8.54,9.12,9.05,8.33,178287e3
2013-06-01,GOOGL,873,910.84,881.84,867.63,97063e3
2013-06-01,GS,161.56,168.2,152.77,163.56,76021100
2013-06-01,KO,39.95,41.7299,40.44,40.81,305808e3
2013-06-01,XRX,8.8,9.62,9.2,8.9,173676800
2013-07-01,GOOGL,886.45,928,896.509,887.88,102387300
2013-07-01,GS,152.78,167.41,165.97,151.75,65295900
2013-07-01,KO,40.5,41.25,40.58,40.46,260921100
2013-07-01,XRX,9.1,10,9.82,9.24,200808100
2013-08-01,GOOGL,895,909.709,858.04,904.22,66906e3
2013-08-01,GS,165.74,169.69,153.9825,167.49,52123900
2013-08-01,KO,40.4,40.75,38.28,40.57,296801300
2013-08-01,XRX,9.78,10.55,10.09,9.91,244693300
2013-09-01,GOOGL,854.36,905.99,880.84,860.38,6618e4
2013-09-01,GS,154.48,170,159.14,154.76,78759300
2013-09-01,KO,38.27,39.67,38.2956,37.9,30096e4
2013-09-01,XRX,10.12,10.57,10.37,10.12,265516900
2013-10-01,GOOGL,880.25,1041.52,1040.57,887.004,110337300
2013-10-01,GS,158.86,163.35,163.11,159,75131900
2013-10-01,KO,38,39.96,39.86,37.95,378979e3
2013-10-01,XRX,10.28,11.15,10.05,10.49,264358600
2013-11-01,GOOGL,1031.79,1068,1066.62,1027.04,52459700
2013-11-01,GS,161.03,170.69,170.38,162.05,57399200
2013-11-01,KO,39.57,40.875,40.48,39.61,267950200
2013-11-01,XRX,10.01,11.48,11.41,10.02,224309800
2013-12-01,GOOGL,1063.51,1121,1120.5,1054.48,67617600
2013-12-01,GS,169.88,177.44,177.12,169.72,55718100
2013-12-01,KO,40.1,41.387,41.14,40.08,301144500
2013-12-01,XRX,11.37,12.28,12.25,11.54,174045100
date,ticker,open,high,low,close,volume
2014-01-01,GOOGL,1115.46,1186.54,1167.89,1113.12,108913300
2014-01-01,GS,176.95,181.13,165.979,176.89,67649400
2014-01-01,KO,41.12,41.225,38.16,40.66,289400900
2014-01-01,XRX,12.09,12.65,11.12,11.91,328614600
2014-02-01,GOOGL,1179.2,1228.88,1224.19,1133.43,81010500
2014-02-01,GS,165.15,167.82,167.41,159.82,70386800
2014-02-01,KO,38.02,39.02,38.3851,37.2,385231900
2014-02-01,XRX,10.88,11.09,11.09,10.41,274737700
2014-03-01,GOOGL,1206.75,1226.99,1135,1202.69,87224100
2014-03-01,GS,164.22,175.59,164.14,164.74,69380700
2014-03-01,KO,37.88,39.03,39.03,38.12,349073700
2014-03-01,XRX,10.92,11.4,11.27,10.87,219809400
2014-04-01,GOOGL,1120.27,1144.8,536.34,1134.89,68887600
2014-04-01,GS,164.76,167.67,160.36,165.92,78693500
2014-04-01,KO,38.53,41.28,40.88,38.41,382724700
2014-04-01,XRX,11.35,12.27,12.11,11.44,240469100
2014-05-01,GOOGL,534.25,577.66,572.58,538.53,41456800
2014-05-01,GS,159.8,163.43,160.64,160.37,51072500
2014-05-01,KO,40.79,41.22,40.925,40.78,213626400
2014-05-01,XRX,12.1,12.37,12.3,12.08,161104100
2014-06-01,GOOGL,569.75,589.6,587.71,564.34,39445800
2014-06-01,GS,159.78,171.08,167.91,160.03,48257200
2014-06-01,KO,40.75,42.49,42.29,40.86,281965200
2014-06-01,XRX,12.37,13.01,12.57,12.41,151359700
2014-07-01,GOOGL,587.65,608.91,591.9899,591.49,38583300
2014-07-01,GS,166.35,182.07,175.27,166.81,59896200
2014-07-01,KO,42.39,42.57,39.73,42.29,282905200
2014-07-01,XRX,12.23,13.38,13.34,12.38,212659500
2014-08-01,GOOGL,578.555,597.81,582.8999,573.6,29046600
2014-08-01,GS,172.38,179.86,179.5,170.25,45999300
2014-08-01,KO,39.41,41.75,41.71,39.4,247872900
2014-08-01,XRX,13.18,13.88,13.77,13.04,140390600
2014-09-01,GOOGL,582.95,605.4,591,588.63,35413703
2014-09-01,GS,179.26,188.58,184.99,179.77,52231493
2014-09-01,KO,41.52,42.81,42.345,41.64,314736014
2014-09-01,XRX,13.86,14.15,13.31,13.84,170409500
2014-10-01,GOOGL,586.8,592.4,568.73,579.63,55503010
2014-10-01,GS,183.19,190,189.5,180.7,82960188
2014-10-01,KO,42.55,44.87,41.89,42.74,529880153
2014-10-01,XRX,13.24,13.64,13.32,13.08,226366100
2014-11-01,GOOGL,563.53,567.15,549.6,563.77,29775322
2014-11-01,GS,190.35,192.68,189.49,190.83,40127102
2014-11-01,KO,41.79,45,44.78,41.81,254107191
2014-11-01,XRX,13.27,14.03,13.9,13.29,113160600
2014-12-01,GOOGL,545.09,548.79,538.4,539.65,54469614
2014-12-01,GS,188,198.06,196.83,188.2,70271781
2014-12-01,KO,44.18,44.765,42.94,44.55,326856137
2014-12-01,XRX,13.9,14.36,14.1,13.83,138319700
date,ticker,open,high,low,close,volume
2015-01-01,GOOGL,532.6,545.41,543.1,529.55,52843510
2015-01-01,GS,195.3,195.73,175.69,194.41,64065077
2015-01-01,KO,42.26,43.83,41.93,42.14,293058539
2015-01-01,XRX,13.88,14.15,13.51,13.75,110272374
2015-02-01,GOOGL,534.32,569.42,560.1299,532.2,40420326
2015-02-01,GS,172.99,193.28,192.5,175.49,50147033
2015-02-01,KO,41.21,43.66,43.03,41.59,291640605
2015-02-01,XRX,13.19,14.02,13.66,13.38,122972594
2015-03-01,GOOGL,567,583.2,562.45,575.02,43207344
2015-03-01,GS,190,194.25,190.55,191.79,50251010
2015-03-01,KO,43.12,43.28,40.9,43.2,370690280
2015-03-01,XRX,13.65,13.72,12.98,13.58,172338946
2015-04-01,GOOGL,554.83,584.7,561.11,549.49,43746541
2015-04-01,GS,187.94,202.87,199.75,192.23,55718259
2015-04-01,KO,40.79,41.61,40.58,40.68,283884409
2015-04-01,XRX,12.85,13.33,11.56,12.67,219450197
2015-05-01,GOOGL,550.51,558.24,553.94,551.16,32421761
2015-05-01,GS,198.45,209.68,208.27,197.53,46689527
2015-05-01,KO,40.58,41.69,41.18,40.91,230528362
2015-05-01,XRX,11.55,11.859,11.5,11.52,209800762
2015-06-01,GOOGL,548.73,565.61,545.9,549.21,35218182
2015-06-01,GS,207.32,218.77,210.79,207.81,57900163
2015-06-01,KO,41.36,41.405,39.61,40.94,288244211
2015-06-01,XRX,11.44,11.615,10.9,11.46,164635027
2015-07-01,GOOGL,543.66,713.33,664.9999,543.3,68543766
2015-07-01,GS,211.63,214.61,207.47,209.94,51968495
2015-07-01,KO,39.38,41.6,41.22,39.5,267904028
2015-07-01,XRX,10.71,11.2,11.05,10.68,293566268
2015-08-01,GOOGL,657.66,704,664.41,664.72,55344735
2015-08-01,GS,205.75,207.78,190.25,204.69,65665429
2015-08-01,KO,40.85,42.25,39.45,41.54,342909598
2015-08-01,XRX,11.04,11.46,10.395,10.94,261885312
2015-09-01,GOOGL,633.66,681.99,639.31,629.56,43458108
2015-09-01,GS,184.68,191.75,175.08,182.12,75850029
2015-09-01,KO,38.7,40.23,40.08,38.75,347010080
2015-09-01,XRX,9.95,10.78,9.75,9.78,248153968
2015-10-01,GOOGL,637.94,752.5,746.31,642,50293840
2015-10-01,GS,174.4,191.96,190.09,176.02,68716247
2015-10-01,KO,40.22,43.85,42.86,39.8,366558835
2015-10-01,XRX,9.71,10.64,9.49,9.64,321782809
2015-11-01,GOOGL,737.88,782.9,775.03,747.74,37574197
2015-11-01,GS,188.32,199.9,191.08,189.68,50694185
2015-11-01,KO,42.32,43.6,43.15,42.24,252116597
2015-11-01,XRX,9.43,11.02,10.68,9.69,245964292
2015-12-01,GOOGL,766.94,798.69,788.33,783.79,43650531
2015-12-01,GS,191.22,193.84,182.885,193.07,65452341
2015-12-01,KO,42.73,43.91,43.34,42.89,286571213
2015-12-01,XRX,10.58,10.93,10.7037,10.69,205487594
