date,GOOG,AAPL,AMZN,MSFT
01/01/2018,1,1,1,1
08/01/2018,1.018172278,1.011942834,1.061880612,1.015988162
15/01/2018,1.032007866,1.019771469,1.053240428,1.020523846
22/01/2018,1.066782783,0.980057114,1.14067562,1.066560788
29/01/2018,1.008773164,0.917142857,1.163374338,1.040707528
05/02/2018,0.941527674,0.893771451,1.08986768,0.999886586
12/02/2018,0.993259183,0.985314246,1.178620762,1.043202153
19/02/2018,1.022282155,1.002857143,1.220365444,1.066560788
26/02/2018,0.978852021,1.006914326,1.220568838,1.055108299
05/03/2018,1.052448273,1.02845712,1.284548543,1.094681923
12/03/2018,1.030392931,1.017257166,1.278682684,1.072683931
19/03/2018,0.926821104,0.942514297,1.21675321,0.988547432
26/03/2018,0.936093245,0.958742851,1.177522453,1.034924537
02/04/2018,0.913638711,0.962171457,1.143262739,1.023131885
09/04/2018,0.933806954,0.99845712,1.164057814,1.055448462
16/04/2018,0.973444726,0.946971434,1.242730666,1.077219615
23/04/2018,0.934514636,0.927542897,1.279447399,1.086517721
30/04/2018,0.950990247,1.050457154,1.286224459,1.079033925
07/05/2018,0.996398238,1.07765712,1.304090677,1.107835296
14/05/2018,0.967456887,1.06462856,1.280871159,1.092640876
21/05/2018,0.975894372,1.077600011,1.309980966,1.115319183
28/05/2018,1.015668255,1.087085743,1.335519159,1.142873327
04/06/2018,1.016911185,1.095428554,1.370055461,1.152398171
11/06/2018,1.045389829,1.079085691,1.396073637,1.13538944
18/06/2018,1.048311152,1.056685703,1.395829623,1.138564483
25/06/2018,1.012175357,1.057771434,1.382918161,1.118153972
02/07/2018,1.034421187,1.074114291,1.391729164,1.147068848
09/07/2018,1.078558892,1.093314297,1.475039464,1.19548699
16/07/2018,1.075011618,1.093942869,1.475584497,1.205011845
23/07/2018,1.123631204,1.091314263,1.478489023,1.221000086
30/07/2018,1.110212917,1.188514314,1.483386772,1.225082192
06/08/2018,1.122823737,1.185885709,1.534650264,1.235967769
13/08/2018,1.089572941,1.243314297,1.531330807,1.219866193
20/08/2018,1.107436784,1.235200023,1.550181421,1.229164299
27/08/2018,1.105204869,1.300742886,1.637494457,1.273727174
03/09/2018,1.056793933,1.264571446,1.588159137,1.227009826
10/09/2018,1.063779837,1.279085691,1.602901148,1.285519905
17/09/2018,1.05793708,1.243771451,1.558008027,1.295611741
24/09/2018,1.082777635,1.289942886,1.629594656,1.296859059
01/10/2018,1.050007709,1.281657103,1.537375727,1.271459286
08/10/2018,1.007121904,1.269200006,1.455171879,1.242431086
15/10/2018,0.994765141,1.253199989,1.435174193,1.232112502
22/10/2018,0.97209293,1.236000017,1.336552418,1.212835884
29/10/2018,0.959681789,1.185599977,1.355036862,1.203764617
05/11/2018,0.967266399,1.168400006,1.393193642,1.242431086
12/11/2018,0.963038576,1.105885709,1.296361696,1.227916981
19/11/2018,0.928916854,0.984514246,1.22204146,1.168726586
26/11/2018,0.992923504,1.020457154,1.375083411,1.257398758
03/12/2018,0.940438905,0.962800029,1.325422641,1.188570106
10/12/2018,0.945446953,0.945599977,1.29514133,1.202290471
17/12/2018,0.88868929,0.861314263,1.120661547,1.113845116
24/12/2018,0.940892531,0.892742834,1.202483039,1.138337643
31/12/2018,0.97140341,0.847199971,1.281701023,1.155799951
07/01/2019,0.959137349,0.870228531,1.33472187,1.165665049
14/01/2019,0.996398238,0.896114326,1.379989204,1.221340249
21/01/2019,0.9898025,0.901485686,1.359137222,1.215217095
28/01/2019,1.007729802,0.95154288,1.323063248,1.165438221
04/02/2019,0.993495077,0.973771451,1.29213918,1.198208364
11/02/2019,1.010360854,0.97382856,1.308191037,1.22712324
18/02/2019,1.007385042,0.988400006,1.327399677,1.258305913
25/02/2019,1.035165084,0.999828577,1.360080999,1.27599497
04/03/2019,1.036371689,0.988057166,1.318645581,1.253089914
11/03/2019,1.074603288,1.063542829,1.393136635,1.314321367
18/03/2019,1.093691899,1.091714303,1.435776233,1.327247991
25/03/2019,1.064487521,1.085428554,1.448777176,1.337339827
01/04/2019,1.095188886,1.125714286,1.494768705,1.359451143
08/04/2019,1.104914598,1.136399971,1.499471205,1.371470623
15/04/2019,1.121698754,1.164914291,1.514628047,1.398911443
22/04/2019,1.15418749,1.167428589,1.586987635,1.472842681
29/04/2019,1.075456162,1.21,1.596612214,1.461616862
06/05/2019,1.05628593,1.126742817,1.537644171,1.441546594
13/05/2019,1.054498671,1.08,1.520575343,1.452205512
20/05/2019,1.028342534,1.02268572,1.483378628,1.431454758
27/05/2019,1.001270175,1.00040004,1.444156015,1.402426547
03/06/2019,0.967166615,1.086571394,1.467717271,1.489964747
10/06/2019,0.984685588,1.101371457,1.521120475,1.501870892
17/06/2019,1.017827518,1.135885709,1.554989688,1.553123913
24/06/2019,0.980657443,1.130971417,1.540613748,1.518993128
01/07/2019,1.026636897,1.167028549,1.580706844,1.554144403
08/07/2019,1.038712469,1.161714303,1.636103272,1.575008401
15/07/2019,1.025285101,1.15765712,1.598288231,1.549155141
22/07/2019,1.134436603,1.187085743,1.580820757,1.602675959
29/07/2019,1.083249423,1.165828594,1.483346053,1.552330093
05/08/2019,1.077824076,1.148514314,1.47060541,1.561514955
12/08/2019,1.068379555,1.18,1.458393612,1.543599069
19/08/2019,1.044509821,1.157942851,1.423450521,1.51252972
26/08/2019,1.077905698,1.192800029,1.445148655,1.56321576
02/09/2019,1.093174815,1.218628543,1.491701505,1.577276367
09/09/2019,1.124592945,1.25,1.496444623,1.557092685
16/09/2019,1.115856107,1.244171406,1.459687271,1.581131634
23/09/2019,1.111464929,1.25040004,1.40378633,1.561741613
30/09/2019,1.09686728,1.297199971,1.415339182,1.566163872
07/10/2019,1.102719009,1.349771469,1.409050249,1.583852929
14/10/2019,1.129972885,1.350914309,1.429869656,1.558113175
21/10/2019,1.147791321,1.409028583,1.432977476,1.595759075
28/10/2019,1.155602745,1.461828611,1.457474266,1.629663202
04/11/2019,1.18974263,1.486514371,1.45295083,1.655062974
11/11/2019,1.211063044,1.518628629,1.415208983,1.700532913
18/11/2019,1.175199359,1.495885709,1.420277552,1.696223978
25/11/2019,1.183927116,1.527142857,1.465089434,1.716521165
02/12/2019,1.216279741,1.546914234,1.425061388,1.720716596
09/12/2019,1.222820991,1.57228568,1.432660169,1.752239432
16/12/2019,1.224417763,1.596800011,1.453455244,1.784896252
23/12/2019,1.226504486,1.655999931,1.521226245,1.802471974
30/12/2019,1.213013658,1.677999966,1.503360027,1.788184527